channel_name,subscribers,total_views,total_videos
Die Antwoord ,3410000,1226249170,130
Noel Deyzel ,7510000,3913773221,457
Openmic Productions ,3180000,1498852058,674
The Supa Strikas - Kids Soccer Cartoon ,2880000,1376755792,1561
Boomerang Africa ,2130000,624825884,1184
Cartoon Network Africa ,2960000,2056640688,2889
SABC News ,2970000,1578691173,249746
Pastor Alph Lukau ,1670000,443631804,7098
Wian ,6770000,6388941911,1001
DJ Arch Jnr ,1230000,198180416,331
The Kiffness ,3090000,775975694,241
michael jamison ,1140000,531515676,2075
OMFilms ,1450000,318871689,393
Nasty_C ,1410000,337703855,224
Spirittunez ,1140000,480187740,711
MzansiMagicOfficial ,1410000,711575342,10045
DLM Men's Lifestyle ,1160000,60193321,585
Steegs Vlogs ,797000,41814948,66
Zee World Africa ,1070000,243344296,3748
MDM Sketch Comedy ,1260000,433127671,434
Zee TV Africa ,982000,631725294,2438
Dan Mace ,924000,49431706,151
MacG ,1600000,379651402,2481
Lasizwe Dambuza ,1090000,138350819,361
Ambitiouz Entertainment ,1040000,659818501,666
Mziiki ,999000,158299059,282
Caitlin De Ville ,751000,276585155,155
MajorLeagueDjz ,1060000,269361025,391
Zeus Studios ,735000,37058762,73
Prophet Shepherd Bushiri ,766000,80620436,1802
Cricket South Africa ,703000,99582537,2636
Make Afrika Great ,820000,38044810,2100
LEON GUMEDE ,706000,176029878,483
Lloyiso ,758000,176479108,82
Evangelist Gabriel Fernandes ,559000,123765681,2927
Zee Magic ,784000,94877502,1189
90 Second IQ Boosters ,479000,24575508,111
Ramscomics ,709000,186888818,82
WildEarth ,685000,317099329,12900
you belong ,462000,10523943,1779
MaroGamingStudio8k ,422000,42533,2
MalaMala Game Reserve ,1270000,616485006,924
Dj Maphorisa ,1030000,354790809,120
Jono Dry ,505000,45902701,261
Mihlali N ,459000,38142624,223
TechNick ,474000,143116585,669
Mr. Bow ,570000,188386352,261
IdolsSA ,424000,166159247,1500
SABC Education Shows ,378000,11144150,2783
Sasenathi Studios ,1090000,253673951,224
1 Magic ,478000,259707963,2627
AfricaOnNetflix ,620000,122654719,1465
BOLO HOUSE MUSIC ,467000,225831771,4930
Muslim Central ,876000,244632752,3008
Kruger Park Sightings ,540000,243795091,1594
Skits By Sphe ,408000,67462471,307
Reinhardt Buhr ,569000,64946012,209
Cassper Nyovest ,510000,134777331,65
Gemini Blessed TV ,381000,88279,16
Sean Kitching ,363000,21160176,341
In Depth Cine ,445000,24353811,233
Cars.co.za ,488000,163446670,1242
Anton Koen ,422000,193959214,548
William Last KRM ,2930000,1244647656,650
SamupertyZuluTV ,317000,6457028,153
United Oromia ,440000,48545781,1852
Mafikizolo ,398000,149566744,4
RockSteady Creatives ,282000,232,1
We Love Africa ,875000,153975692,1049
Makhadzi ,775000,274286796,182
Jack Bohloko ,379000,155254505,751
Prince Kaybee ,339000,176899834,45
Showmax ,686000,172087549,4196
Mr JazziQ ,492000,148847648,70
beautarie ,298000,23545017,341
Johan Swanepoel ,318000,67474796,71
Mpoomy Ledwaba ,328000,34025199,435
Cream Puff ,243000,33937993,109
Wild Africa Adventure Films ,285000,94556259,181
Built IRL ,269000,20542282,10
Kay Yarms ,336000,33874804,240
Inkabi Records ,745000,298842182,276
Xhosanostra TV ,285000,14473537,28
Emotional reader ,,,
Mzansi Fresh Dancers ,607000,148512600,564
Game Drive Channel ,246000,69691450,451
MUTHALAND TV ,276000,152156067,471
DStv ,525000,168234659,5224
Lesiba Mothupi ,291000,21107037,1019
Kusemek ,,,
Tio Yado Humorista Arte Tv ,343000,81377889,720
Koko Records ,342000,157866167,191
Woodshop Junkies ,284000,21689197,145
Sho Madjozi ,274000,42385298,53
Elaine ,287000,88020857,74
Tekweni ,246000,139547034,525
Detormentis ,318000,118238679,409
Mindset ,292000,45617044,6833
BET International ,547000,142655073,5556
